Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"The parallel plate capacitors with different distance between the plates
are connected in parallel to voltage
source as shown in the figure. A point
positive charge is moved from a point
that is exactly in the middle between
the plates of the capacitor \( c_{1} \) to a point
2 in capacitor \( c_{2} \) that lies at the plates
of \( c_{1} \). Then the work done by the electric
force is.
A. positive
B. negative
c. zero
D. data insufficient.",Physics,"The parallel plate capacitors with different distance between the plates
are connected in parallel to voltage
source as shown in the figure. A point
positive charge is moved from a point
that is exactly in the middle between
the plates of the capacitor \( c_{1} \) to a point
2 in capacitor \( c_{2} \) that lies at the plates
of \( c_{1} \). Then the work done by the electric
force is.",positive,negative,zero,data insufficient.,,Mechanics,Medium,1049,5,80,219,Hard,thermodynamics
"From a motorboat moving downstream
with a velocity \( 2 m / s \) with respect to
river, a stone is thrown. The stone falls
on an ordinary boat at the instant when
the motorboat collides with the ordinary boat. The velocity of the ordinary boat with respect to the river is equal to zero.
The river flow velocity is given to be \( \mathbf{1} \boldsymbol{m} / \boldsymbol{s} . \) The initial velocity vector of the stone with respect to earth is
A \( .2 \hat{i}+20 \hat{j} \)
B . \( 3 \hat{i}+40 \hat{j} \)
c. \( 3 \hat{i}+50 \hat{j} \)
D . \( 2 \hat{i}+50 \hat{j} \)",Physics,,,,,,,Kinematics,Easy,1087,9,29,37,Easy,kinematics
Power losses in case of ac (in W) is,Physics,,,,,,,Mechanics,Medium,1081,6,83,59,Hard,kinematics
"gigameter is \( 10^{-a} \) exameter. What is
value of a?",Physics,,,,,,,Other,Unknown,1068,7,25,125,Easy,other
"One mole of an ideal monoatomic gas is
mixed with 1 mole of an ideal diatomic
gas. The molar specific heat of the mixture at constant volume is :
A. 3 cal
B. 4 cal
\( c \cdot 8 \) cal
D. 9 cal",Physics,,,,,,,Thermodynamics,Medium,1056,5,30,198,Easy,thermodynamics
"The relationship between force and
position is shown in the figure (in one
dimensional case). Work done by the
force in displacing a body from \( x=1 \mathrm{cm} \)
to \( x=5 c m \) is :
A. 700 erg
B. 70 erg
c. 60 erg
D. 20 erg",Physics,"The relationship between force and
position is shown in the figure (in one
dimensional case). Work done by the
force in displacing a body from \( x=1 \mathrm{cm} \)
to \( x=5 c m \) is :",700 erg,70 erg,60 erg,20 erg,,Mechanics,Medium,1025,1,56,178,Medium,mechanics
"Figure shows two flasks connected to each other. The volume of the flask 1 is
twice that of flask 2. The system is filled with an ideal gas at temperature \( 100 \mathrm{K} \) and \( 200 \mathrm{K} \) respectively in the flasks. If the mass of the gas in \( 1 \mathrm{m} \), then what is the mass of the gas in flask 2 in equilibrium?
A . \( m \)
в. \( \frac{m}{2} \)
c. \( \frac{m}{4} \)
D. \( \frac{m}{8} \)",Physics,,,,,,,Mechanics,Medium,1042,9,81,298,Hard,kinematics
"Assertion
Although the surface of goggles' lens is curved, it does not have any optical
power.
Reason
In case of goggles, both the curved surfaces have equal radii of curvature
and have centre of curvature on the
same side.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
Although the surface of goggles' lens is curved, it does not have any optical
power.
Reason
In case of goggles, both the curved surfaces have equal radii of curvature
and have centre of curvature on the
same side.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Optics,Easy,1019,10,77,103,Hard,thermodynamics
"State whether true or false:
A concave lens forms a magnified or diminished image depending on the distance of object from it.
A. True
B. False",Physics,,,,,,,Optics,Easy,1073,2,89,296,Hard,kinematics
"Find out the increase in temperature of
\( 50 g \) block of solid marble (specific heat
\( =\mathbf{0 . 9 k J} / k g), \) originally at 20 if it
absorbs \( 100 \mathrm{J} \) of heat \( ? \)
\( \mathbf{A} \cdot \mathbf{1} \)
B. 2
\( c \cdot 4 \)
D. 10
E. 20",Physics,,,,,,,Thermodynamics,Medium,1079,3,71,73,Hard,thermodynamics
"In the case of the waves from two
coherent sources \( S_{1} \) and \( S_{2}, \) there will
be constructive interference at an
arbitrary point \( P \), the path difference
\( \boldsymbol{S}_{1} \boldsymbol{P}-\boldsymbol{S}_{2} \boldsymbol{P} \) is then
A \( \cdot\left[n+\frac{1}{2}\right] \lambda \)
B. \( n \lambda \)
c. \( \left[n-\frac{1}{2}\right] \lambda \)
D. \( \frac{\lambda}{2} \)",Physics,,,,,,,Other,Unknown,1050,1,93,281,Hard,kinematics
"Two identical capacitors are joined in
parallel and charged to a potential \( V \)
Capacitors are separated and then connected in series, i.e., the positive plate of one is connected to the negative plate of other. Identify the correct
option:
A. The charges on the free plates are enhanced.
B. The charges on the free plates decrease.
c. The energy stored in the system increase
D. The potential difference between the free plates is \( 2 V \)",Physics,"Two identical capacitors are joined in
parallel and charged to a potential \( V \)
Capacitors are separated and then connected in series, i.e., the positive plate of one is connected to the negative plate of other. Identify the correct
option:",The charges on the free plates are enhanced.,The charges on the free plates decrease.,The energy stored in the system increase,The potential difference between the free plates is \( 2 V \),,Mechanics,Medium,1079,8,97,277,Hard,kinematics
"Calculate the total reactance if two
inductor of \( 10 \mathrm{mH} \) and \( 50 \mathrm{mH} \) are
connected in series with \( 10 \mathrm{kHz} \) AC.",Physics,,,,,,,Electricity,Hard,1033,5,77,162,Hard,thermodynamics
"A long charged cylinder of linear charged density \( \lambda \) is surrounded by a hollow co-axial conducting cylinder. What is the electric field in the space
between the two cylinders?",Physics,,,,,,,Electricity,Hard,1078,7,60,90,Medium,electricity
"A long straight cable of lenght \( l \) is
placed symmetrically along z - axis has radius \( a(<<l) \). The cable consists of a
thin wire and a coaxial conducting tube
An alternating current \( \boldsymbol{I}(\boldsymbol{t})= \)
\( I_{0} \sin (2 \pi v t) \) flows down the central thin
wire and return along the coaxial conducting tube. The induced electric field at a distance s from the wire inside
the cable is \( \boldsymbol{E}(\boldsymbol{s}, \boldsymbol{t})= \)
\( \mu_{o} I_{o} v \cos (2 \pi v t) \ln \left(\frac{s}{a}\right) \hat{k} . \) The
displacement current density inside the cable is
A \( \cdot \frac{2 \pi}{\lambda^{2}} I_{0} \ln \left(\frac{a}{s}\right) \sin (2 \pi v t) \hat{k} \)
в. \( \frac{I}{\lambda^{2}} I_{0} \) ln \( \left(\frac{a}{s}\right) \sin (2 \pi v t) \hat{k} \)
c. \( \frac{\pi}{\lambda^{2}} I_{0} \ln \left(\frac{a}{s}\right) \sin (2 \pi v t) \hat{k} \)
D. Zero",Physics,,,,,,,Kinematics,Easy,1041,3,30,168,Easy,kinematics
"The input to the digital circuit are as
shown below. The output Y is:
\( \mathbf{A} \cdot A+B+\bar{C} \)
B . \( (A+B) \bar{C} \)
c. \( \bar{A}+\bar{B}+\bar{C} \)
\( \mathbf{D} \cdot \bar{A}+\bar{B}+C \)",Physics,,,,,,,Electricity,Hard,1073,2,98,235,Hard,thermodynamics
"The equations of two displacement sound waves propagating in a medium are given by \( s_{1}=2 \sin (200 \pi t) \) and
\( s_{2}=5 \sin (150 \pi t) \) The ratio of
intensities of sound produced is :
A . 4: 25
B. 9: 100
c. 8: 15
D. 64:225",Physics,,,,,,,Kinematics,Easy,1047,8,68,126,Medium,optics
What happens on connecting too many appliances at a time to a single socket?,Physics,,,,,,,Other,Unknown,1036,8,46,224,Medium,optics
"The energy gap in glass at room
temperature is
A. Greater than that in a semiconductor.
B. Less than that in a good conductor
C. Greater than that in a good conductor.
D. Both (1) and (3) are true.",Physics,"The energy gap in glass at room
temperature is",Greater than that in a semiconductor.,Less than that in a good conductor,Greater than that in a good conductor.,Both (1) and (3) are true.,,Mechanics,Medium,1032,8,75,149,Hard,kinematics
"The uniform magnetic field perpendicular to the plane of a conducting ring of radius a changes at
the rate of \( \alpha, \) then
This question has multiple correct options
A. all the points on the ring are at the same potential
B. the emf induced in the ring is \( \pi a^{2} \alpha \)
C. electric field intensity \( E \) at any point on the ring is zero
\( \mathbf{D} \cdot E=(a \alpha) / 2 \)
E . answer required",Physics,,,,,,,Kinematics,Easy,1043,8,88,123,Hard,thermodynamics
"Four pieces each of length \( l \) of a
conducting rod are joined as shown in the figure. The rod is placed in a downward magnetic field B. If the rod is
moved towards right with a uniform
velocity \( v, \) then the induced emf across the two ends of the rod is
\( A \). Blv
B. 4 Blv
C \( \cdot 2 \) Blv \( \sin (\theta / 2) \)
D \cdot 2 Blv (1+ sin\theta/2)",Physics,,,,,,,Kinematics,Easy,1022,6,39,85,Easy,kinematics
"A disc is rotated about its axis with a
certain angular velocity and lowered
gently on a rough inclined plane as
shown in figure, then
A. It will rotate at the position where it is placed and then will move downwards
B. It will go downwards just after it is lowered
c. It will go downwards first and then climb up
D. It will climb upwards and then move downwards",Physics,"A disc is rotated about its axis with a
certain angular velocity and lowered
gently on a rough inclined plane as
shown in figure, then",It will rotate at the position where it is placed and then will move downwards,It will go downwards just after it is lowered,It will go downwards first and then climb up,It will climb upwards and then move downwards,,Kinematics,Easy,1027,2,30,78,Easy,kinematics
"State whether true or false.
One mega watt is 10 times that of one kilowatt.
A. True
B. False",Physics,,,,,,,Other,Unknown,1091,6,26,46,Easy,other
"Angle between an equipotential surface and electric lines of force is :
A . \( 0^{\circ} \)
B. \( 90^{\circ} \)
\( c \cdot 180^{\circ} \)
D. \( 270^{\circ} \)",Physics,,,,,,,Mechanics,Medium,1081,3,56,43,Medium,electricity
"In a photoelectric effect, the anode
potential is plotted against the plate
current
A. A and B will have different intensities while B and
will have different frequencies
B. B and C will have different intensities while A and will have different frequencies
C. \( A \) and \( B \) will have different intensities while \( A \) and \( C \) will have equal frequencies
D. A and B will have equal intensities while B and C will have different frequencies",Physics,"In a photoelectric effect, the anode
potential is plotted against the plate
current","A and B will have different intensities while B and
will have different frequencies",B and C will have different intensities while A and will have different frequencies,\( A \) and \( B \) will have different intensities while \( A \) and \( C \) will have equal frequencies,A and B will have equal intensities while B and C will have different frequencies,,Electricity,Hard,1074,8,91,123,Hard,thermodynamics
"Calculate \( \theta_{1} \) and \( \theta_{2} \) in shown situation
\begin{tabular}{|cccc|}
\hline \( 200^{\circ} \mathrm{C} \) & \( \theta_{1} \) & \( ^{\theta_{2}} \) & \( 19^{\circ} \mathrm{C} \) \\
\hline \( \mathrm{K} \) & \( 2 \mathrm{K} \) & \( 1.5 \mathrm{K} \) \\
\hline
\end{tabular}",Physics,,,,,,,Other,Unknown,1096,6,37,32,Easy,other
"A gun fires a bullet of mass 50 g with a velocity of \( 30 \mathrm{m} \mathrm{s}^{-1} \). Because of this
gun is pushed back with a velocity of 1
\( \mathrm{m} \mathrm{s}^{-1} . \) Mass of the gun is :
\( A \cdot 3.5 \mathrm{kg} \)
c. \( 1.5 \mathrm{kg} \)
D. 2 kg",Physics,,,,,,,Kinematics,Easy,1012,9,93,60,Hard,thermodynamics
"Birds produce sound by using:
A. vocal chord
B. larynx
c. glottis
D. syrinx",Physics,Birds produce sound by using:,vocal chord,larynx,glottis,syrinx,,Other,Unknown,1013,4,66,249,Medium,optics
"What is the minimum and maximum
unit of measurement of mass?",Physics,,,,,,,Mechanics,Medium,1085,6,87,38,Hard,thermodynamics
"A circular disc rotates in a vertical
plane about a fixed horizontal axis which passes through a point \( X \) on the circumference of disc. When the centre
of the disc moves with speed \( v \), the
speed of the opposite end of the
diameter through \( \boldsymbol{X} \) is
A \( .2 v \)
B. \( \sqrt{2} v \)
\( c \)
D. \( v / 2 \)",Physics,,,,,,,Other,Unknown,1096,6,79,249,Hard,kinematics
"A small uniform tube is hent into a
circle of radius r whose plane is vertical. Equal volumes of two fluids whose
densities are \( p \) and \( \sigma(\rho>\sigma) \) fill
half the circle. Find the angle that the
radius passing through the interface
makes with the vertical",Physics,,,,,,,Kinematics,Easy,1045,4,56,90,Medium,mechanics
"In a clockwise system, which of the following is true?
в. \( \hat{i} \hat{.}=0 \)
\( \mathbf{c} \cdot \hat{j} \times \hat{j}=1 \)
D. \( \hat{k} . \hat{.}=1 \)",Physics,,,,,,,Other,Unknown,1007,4,79,53,Hard,thermodynamics
"The cells are joined in parallel to get the
maximum current when
A. External resistance is very large as compared to the total internal resistance
B. Internal resistance is very large as compared to the external resistance
C. Internal resistance and external resistance are equal
D. Emf of each cell is very large",Physics,"The cells are joined in parallel to get the
maximum current when",External resistance is very large as compared to the total internal resistance,Internal resistance is very large as compared to the external resistance,Internal resistance and external resistance are equal,Emf of each cell is very large,,Electricity,Hard,1019,10,90,143,Hard,kinematics
"A disc of radius \( R \) is rolling without sliding on a horizontal surface with a velocity of center of mass \( v \) and angular
velocity \( \omega \) in a uniform magnetic field \( B \) which is perpendicular to the plane of
the disc as shown in figure. \( O \) is the
center of the disc and \( P, Q, R \) and \( S \) are
the four points on the disc. Which of the
following statements is true?
This question has multiple correct options
A. Due to translation, induced emf across \( P S=B v r \)
B. Due to rotation, induced emf across \( Q S=0 \)
c. Due to translation, induced emf across \( R O=0 \)
D. Due to rotation, induced emf across \( O Q=B v r \)",Physics,,,,,,,Kinematics,Easy,1045,5,63,131,Medium,electricity
"The Sl unit of specific latent heat is
A. cal \( g^{-1} \)
B . cal \( g^{-1} \mathrm{K}^{-1} \)
\( c \cdot J \operatorname{kg}^{-1} \)
D. J kg \( ^{-1} \mathrm{K}^{-1} \)",Physics,,,,,,,Thermodynamics,Medium,1023,9,48,52,Medium,electricity
"When potential difference is applied across an electrolyte, then Ohm's law is obeyed at
A. zero potential
B. very low potential
c. negative potential
D. high potential",Physics,"When potential difference is applied across an electrolyte, then Ohm's law is obeyed at",zero potential,very low potential,negative potential,high potential,,Electricity,Hard,1007,7,76,284,Hard,kinematics
"Wavelengths of the first lines of the Lyman series, Paschen series and Balmer series in hydrogen spectrum are
denoted by \( \lambda_{L}, \lambda_{P} \) and \( \lambda_{B} \) respectively Arrange these wavelength in increasing order.",Physics,,,,,,,Other,Unknown,1044,8,51,243,Medium,optics
"A tangential force of \( 2100 N \) is applied
on a surface of area \( 3 \times 10^{-6} m^{2} \) which
is \( 0.1 m \) from a fixed face. The force
produces a shift of \( 7 \mathrm{mm} \) of upper surface with respect to bottom. Th4n
the modulus of rigidity of the material.
В. \( 5 \times 10^{10} \mathrm{Nm}^{-2} \)
c. \( 15 \times 10^{10} N m^{-2} \)
D. \( 1 \times 10^{10} \mathrm{Nm}^{-2} \)",Physics,,,,,,,Mechanics,Medium,1062,5,70,161,Hard,kinematics
"A charged \( 30 \mu \mathrm{F} \) capacitor is connected
to a \( 27 \mathrm{mH} \) inductor. What is the
angular frequency of free oscillations of the circuit?",Physics,,,,,,,Electricity,Hard,1087,5,76,71,Hard,thermodynamics
"The magnetic fields through two identical rings made of copper and wood are changing at the same rate. The induced electric field in copper ring will be :
A. more than that in the wooden ring
B. less than that in the wooden ring
c. finite and that in the wooden ring will be zero
D. same as that in the wooden ring",Physics,The magnetic fields through two identical rings made of copper and wood are changing at the same rate. The induced electric field in copper ring will be :,more than that in the wooden ring,less than that in the wooden ring,finite and that in the wooden ring will be zero,same as that in the wooden ring,,Other,Unknown,1008,1,30,88,Easy,other
"Shape of graph between speed and kinetic energy of the body is:
A. Hyperbola
B. Straight line
c. Parabola
D. circle",Physics,Shape of graph between speed and kinetic energy of the body is:,Hyperbola,Straight line,Parabola,circle,,Kinematics,Easy,1042,9,82,172,Hard,kinematics
"Change each of the given temperature
to the Celsius and Kelvin scales:
\( 68^{\circ} F, 5^{\circ} F \) and \( 176^{\circ} F \)",Physics,,,,,,,Thermodynamics,Medium,1040,8,50,208,Medium,electricity
"A cylindrical capacitor has two co-axial cylinders of length \( 15 \mathrm{cm} \) and radii 1.5 \( \mathrm{cm} \) and \( 1.4 \mathrm{cm} . \) The outer cylinder is earthed and the inner cylinder is given a charge of \( 3.5 \mu C . \) Determine the
capacitance of the system and the potential of the inner cylinder. Neglect end effects (i.e., bending of field lines at the ends)",Physics,,,,,,,Electricity,Hard,1039,3,87,93,Hard,kinematics
"The equation of sound wave is \( y= \) \( 0.0015 \sin (62.4 x+316 t) . \) Find the
wavelength of this wave
A. 0.2 unit
B. 0.1 unit
c. 0.3 unit
D. None of these",Physics,"The equation of sound wave is \( y= \) \( 0.0015 \sin (62.4 x+316 t) . \) Find the
wavelength of this wave",0.2 unit,0.1 unit,0.3 unit,None of these,,Other,Unknown,1013,7,96,281,Hard,thermodynamics
"In which of the following option could represent the ball increasing its speed?
\( A \)
\[
\text { (A) } . \quad \bullet \quad \bullet \quad \bullet \quad \text { ・ }
\]
B.
\[
\text { (B) } \bullet \bullet \quad \bullet
\]
\( \mathbf{c} \)
(C)
D.
(D)
\[
\bullet
\]
E .
(E)",Physics,,,,,,,Other,Unknown,1029,10,96,97,Hard,thermodynamics
"If suddenly the gravitational force of attraction between earth and satellite
revolving around it becomes zero, then the satellite will
A. continue to move in its orbit with same velocity
B. Move tangential to the original orbit with the same velocity
c. Becomes sationary in its orbit
D. Move towards the earth",Physics,"If suddenly the gravitational force of attraction between earth and satellite
revolving around it becomes zero, then the satellite will",continue to move in its orbit with same velocity,Move tangential to the original orbit with the same velocity,Becomes sationary in its orbit,Move towards the earth,,Kinematics,Easy,1093,3,76,125,Hard,kinematics
"The acceleration of a particle is given by the \( a=X \) where \( X \) is a constant. if the
particle starts at origin from rest. its distance from origin after time t is given by.",Physics,,,,,,,Kinematics,Easy,1046,2,29,72,Easy,kinematics
"Calculate the heat energy released by water in the experiment in cooling from
\( 70^{\circ} \mathrm{C} \) to \( 45^{\circ} \)",Physics,,,,,,,Mechanics,Medium,1014,10,35,31,Easy,mechanics
"Calculate the time taken by a sound
wave of frequency \( 1000 \mathrm{Hz} \) and wavelength \( 50 \mathrm{cm} \) to travel a distance of \( 500 \mathrm{m} \)
A . 1 s
B. 6 s
\( c \cdot 3 s \)
D. 12",Physics,,,,,,,Other,Unknown,1032,3,70,165,Hard,thermodynamics
"What is lightning conductor? How does it save high rise buildings from
lightning damage?",Physics,,,,,,,Optics,Easy,1010,10,38,275,Easy,optics
"Two bulbs, one of \( 200 \mathrm{W} \) and the other of
\( 100 \mathrm{W}, \) are connected in series with a
100V battery which has no internal
resistance. Then
A. the current passing through the 200 W bulb is more than that through the 100 w bulb
B. the power dissipation in the 200 W bulb is more than that in the 100 W bulb
c. the voltage drop across the 200 W bulbs is more than that across the \( 100 \mathrm{W} \) bulb
D. the power dissipation in the 100 W bulb is more than that in the \( 200 \mathrm{w} \) bulb",Physics,"Two bulbs, one of \( 200 \mathrm{W} \) and the other of
\( 100 \mathrm{W}, \) are connected in series with a
100V battery which has no internal
resistance. Then",the current passing through the 200 W bulb is more than that through the 100 w bulb,the power dissipation in the 200 W bulb is more than that in the 100 W bulb,the voltage drop across the 200 W bulbs is more than that across the \( 100 \mathrm{W} \) bulb,the power dissipation in the 100 W bulb is more than that in the \( 200 \mathrm{w} \) bulb,,Mechanics,Medium,1036,7,34,217,Easy,mechanics
"The intensity falls as we move to
successive maxima away from the centre on either side.",Physics,,,,,,,Other,Unknown,1093,4,56,282,Medium,mechanics
"A uniformly charged solid sphere or
radius \( \boldsymbol{R} \) has potential \( \boldsymbol{V}_{\mathbf{0}} \) (measured
with respect to \( \infty \) ) on its surface. For
this sphere the equipotential surfaces with potentials \( \frac{3 V_{0}}{2}, \frac{5 V_{0}}{4}, \frac{3 V_{0}}{4}, \frac{V_{0}}{4} \)
have radius \( \boldsymbol{R}_{1}, \boldsymbol{R}_{2}, \boldsymbol{R}_{3} \) and \( \boldsymbol{R}_{4} \)
respectively. Then
A \( \cdot R_{1}=0 \) and \( R_{2}\left(R_{4}-R_{3}\right) \)
B . \( R_{1} \neq 0 \) and \( \left(R_{1}-R_{1}\right)>\left(R_{4}-R_{3}\right) \)
c. \( R_{1}=0 \) and \( R_{2}>\left(R_{4}-R_{3}\right) \)
D. none of these",Physics,,,,,,,Kinematics,Easy,1061,9,83,100,Hard,kinematics
"Two points \( A \) and \( B \) on a disc have
velocities \( v_{1} \) and \( v_{2} \) at some moment.
Their directions make angles \( 60^{\circ} \) and
\( 30^{\circ} \) respectively with the line of
separation as shown in figure. The
angular velocity of disc is not given by :
A \( \cdot \frac{v_{1}}{\sqrt{3} d} \)
B. \( \frac{v_{2}}{d} \)
\( ^{\mathbf{c}} \cdot\left(\frac{\sqrt{3} v_{1}-v_{2}}{2 d}\right) \)
D. None of these",Physics,,,,,,,Kinematics,Easy,1003,8,56,156,Medium,optics
"Three resistors are connected to a \( 6 \mathrm{V} \)
battery as shown in the figure given
Calculate the potential difference
across the \( 7.2 \Omega \) resistor",Physics,,,,,,,Electricity,Hard,1012,2,75,126,Hard,kinematics
"Which reaction is responsible for solar
energy? Name the major component of
solar energy that reaches us.",Physics,,,,,,,Mechanics,Medium,1090,2,47,125,Medium,mechanics
why does the sky sometimes appear white?,Physics,,,,,,,Other,Unknown,1045,9,68,282,Medium,optics
"Two particle \( A \) and \( B \) are located in \( x-y \) plane at points (0,0) and \( (0,4 \mathrm{m}) \). They simultaneously start moving with velocities. \( \vec{V}_{A}=2 \hat{j} m / s \) and \( \vec{V}_{B}= \)
2 ì \( m / s . \) Select the correct alternative(s).
This question has multiple correct options
A. The distance between them is constant
B. The distance between them first decreases and then increases
c. The shortest distance between them is \( 2 \sqrt{2} m \)
D. Time after which they are at minimum distance is 1 s",Physics,"Two particle \( A \) and \( B \) are located in \( x-y \) plane at points (0,0) and \( (0,4 \mathrm{m}) \). They simultaneously start moving with velocities. \( \vec{V}_{A}=2 \hat{j} m / s \) and \( \vec{V}_{B}= \)
2 ì \( m / s . \) Select the correct alternative(s).
This question has multiple correct options",The distance between them is constant,The distance between them first decreases and then increases,The shortest distance between them is \( 2 \sqrt{2} m \),Time after which they are at minimum distance is 1 s,,Other,Unknown,1012,10,76,242,Hard,kinematics
"In a laser tube, all the photons
A. have same wavelength
B. have same energy
c. move in same direction
D. move with same speed",Physics,"In a laser tube, all the photons",have same wavelength,have same energy,move in same direction,move with same speed,,Mechanics,Medium,1015,9,30,289,Easy,mechanics
