Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,question,option_1,option_2,option_3,option_4,correct_answer
"An aeroplane is moving with horizontal velocity u at height h. The velocity of a packet dropped from it on the earth's surface will be (g is acceleration due to gravity
A \( \cdot \sqrt{u^{2}+h^{2}} \)
B . \( \sqrt{u^{2}+2 g h} \)
c. \( \sqrt{u^{2}-h^{2}} \)
D. Data Insufficient",Physics,aeroplane moving horizontal velocity height velocity packet dropped earth surface acceleration due gravity cdot sqrtu2h2 sqrtu22 sqrtu2h2 data insufficient,Kinematics,Easy,1085,1,54,215,Medium,mechanics,,,,,,
"Assertion
Projectile motion is called a two dimensional motion, although it takes
place in space.
Reason
In space it takes place in a plane.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion is incorrect but Reason is correct.",Physics,assertion projectile motion called two dimensional motion although take place space reason space take place plane assertion reason correct reason correct explanation assertion assertion reason correct reason correct explanation assertion assertion correct reason incorrect assertion incorrect reason correct,Kinematics,Easy,1001,3,49,63,Medium,electricity,"Assertion
Projectile motion is called a two dimensional motion, although it takes
place in space.
Reason
In space it takes place in a plane.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion is incorrect but Reason is correct.,
"a) Is it correct to say that only red colour is given out from the water droplets situated on the outer edge of a rainbow? Justify your answer.
b) Write a situation in which a rainbow can be viewed as a full circle instead of
an arc.",Physics,correct say red colour given water droplet situated outer edge rainbow justify answer write situation rainbow viewed full circle instead arc,Other,Unknown,1045,9,60,81,Medium,electricity,,,,,,
"The acceleration \( \alpha \) of a particle moving with an velocity \( u \) varies with distance
\( x \) as \( a=k \sqrt{x} \) where \( k \) is a constant. Th
distance covered by the particle when its velocity become \( 3 u \) is given by
\( ^{\mathrm{A}} \cdot\left(\frac{3 u^{2}}{k}\right)^{2 / 3} \)
B. \( \left(3 k u^{2}\right)^{4 / 3} \)
\( ^{\mathrm{C}} \cdot\left(\frac{6 u^{2}}{k}\right)^{2 / 3} \)
D. \( \left(\frac{u^{2}}{3 k}\right)^{2 / 3} \)",Physics,acceleration alpha particle moving velocity varies distance ak sqrtx constant th distance covered particle velocity become given mathrma cdotleftfrac3 u2kright2 left3 u2right4 mathrmc cdotleftfrac6 u2kright2 leftfracu23 kright2,Kinematics,Easy,1022,10,66,51,Medium,electricity,,,,,,
"An electromagnetic wave has energy in
the form of
A. variable electric field
B. variable magnetic field
c. both A and B
D. none of the above",Physics,electromagnetic wave energy form variable electric field variable magnetic field none,Mechanics,Medium,1056,7,45,53,Medium,electricity,"An electromagnetic wave has energy in
the form of",variable electric field,variable magnetic field,both A and B,none of the above,
Draw the diagram representing the schematic arrangement of the GeigerMarsdon experimental setup tor the alpha particle scattering.,Physics,draw diagram representing schematic arrangement geigermarsdon experimental setup tor alpha particle scattering,Other,Unknown,1076,9,23,90,Easy,other,,,,,,
"A billiard ball of mass \( M \) moving with
velocity \( v_{1} \) collides with another ball of
the same mass but at rest. If the
collision is elastic the angle of divergence after the collision is
A \( \cdot 0^{\circ} \)
B. \( 30^{\circ} \)
\( c \cdot 90^{\circ} \)
D. \( 45^{\circ} \)",Physics,billiard ball mass moving velocity v_1 collides another ball mass rest collision elastic angle divergence collision cdot 0circ 30circ cdot 90circ 45circ,Kinematics,Easy,1093,4,82,263,Hard,thermodynamics,,,,,,
"\( A \) and \( B \) are two hollow metal spheres
of radii \( 50 c m \) and \( 1 m \) carrying charges
\( 0.6 \mu C \) and \( 1 \mu C \) respectively. They are connected externally by a conducting wire. Now the charge flows from :
A. \( A \) to \( B \) till the charges become equal
B. \( A \) to \( B \) till the potentials become equal
c. \( B \) to \( A \) till the charges become equal
D. \( B \) to \( A \) till the potentials become equal",Physics,two hollow metal sphere radius 50 carrying charge 06 mu mu respectively connected externally conducting wire charge flow till charge become equal till potential become equal till charge become equal till potential become equal,Electricity,Hard,1058,7,93,86,Hard,thermodynamics,"\( A \) and \( B \) are two hollow metal spheres
of radii \( 50 c m \) and \( 1 m \) carrying charges
\( 0.6 \mu C \) and \( 1 \mu C \) respectively. They are connected externally by a conducting wire. Now the charge flows from :",\( A \) to \( B \) till the charges become equal,\( A \) to \( B \) till the potentials become equal,\( B \) to \( A \) till the charges become equal,\( B \) to \( A \) till the potentials become equal,
"If three particles each of mass \( m \) are placed at the corners of an equilateral triangle of side \( a \), the potential energy of the system and the work done if the side of the triangle is changed from \( a \) to
\( \mathbf{2} \boldsymbol{a}, \) are
\( ^{\mathbf{A}} \cdot \frac{3 G M}{a^{2}}, \frac{3 G M}{2 a} \)
в. \( -\frac{3 G M^{2}}{a}, \frac{3 G M^{2}}{2 a} \)
c. \( -\frac{3 G M^{2}}{a^{2}}, \frac{3 G M^{2}}{4 a^{2}} \)
D. \( -\frac{3 G M^{2}}{a}, \frac{3 G M}{2 a} \)",Physics,three particle mass placed corner equilateral triangle side potential energy system work done side triangle changed mathbf2 boldsymbola mathbfa cdot frac3 ma2 frac3 m2 frac3 m2a frac3 m22 frac3 m2a2 frac3 m24 a2 frac3 m2a frac3 m2,Mechanics,Medium,1087,10,74,36,Hard,kinematics,,,,,,
"A transformer with primary to secondary turns ratio of \( 1: 2, \) is connected to an alternator of voltage \( 200 \mathrm{V} . \) A current of \( 4 \mathrm{A} \) is flowing through the primary coil. Assuming that the transformer has no losses, the
secondary voltage and current are respectively:
\( A \cdot 100 \vee, 8 A \)
B. \( 400 \vee, 8 A \)
c. \( 400 \vee, 2 \mathrm{A} \)
D. \( 100 \vee, 2 A \)",Physics,transformer primary secondary turn ratio connected alternator voltage 200 mathrmv current mathrma flowing primary coil assuming transformer loss secondary voltage current respectively cdot 100 vee 400 vee 400 vee mathrma 100 vee,Electricity,Hard,1025,1,54,60,Medium,optics,,,,,,
What are the Cathode Rays?,Physics,cathode ray,Other,Unknown,1077,7,31,190,Easy,other,,,,,,
"Mass of the earth has been determined
through
A \( \cdot \) use of Kepler's \( \frac{T^{2}}{R^{3}} \) constancy law
B. sampling the density of earth's crust and using earth's radius.
C. Cavendish's determination of G and using earth's radius and \( g \) at its surface.
D. use of periods of satellites at different heights above earth's surface.",Physics,mass earth determined cdot use kepler fract2r3 constancy law sampling density earth crust using earth radius cavendish determination using earth radius surface use period satellite different height earth surface,Mechanics,Medium,1073,8,100,153,Hard,kinematics,,,,,,
"The energy bands are present only when
the substance is present in the solid
state.
A. True
B. False",Physics,energy band present substance present solid state true false,Mechanics,Medium,1013,5,64,45,Medium,optics,,,,,,
"A constant voltage is applied between the two ends of a uniform metallic wire.
Some heat is developed in it. The heat developed is doubled if This question has multiple correct options
A. radius is halved
B. length is halved
c. the radius of the wire is doubled
D. the length of the wire is doubled",Physics,constant voltage applied two end uniform metallic wire heat developed heat developed doubled question multiple correct option radius halved length halved radius wire doubled length wire doubled,Kinematics,Easy,1060,9,50,256,Medium,optics,"A constant voltage is applied between the two ends of a uniform metallic wire.
Some heat is developed in it. The heat developed is doubled if This question has multiple correct options",radius is halved,length is halved,the radius of the wire is doubled,the length of the wire is doubled,
"A convex lens forms a real image of a point object placed on its principal axis. If the upper half of the lens is painted black
(i) The image will be shifted downward
\( (i i) \) The image will be shifted upward
\( (i i i) \) The image will not be shifted
\( (i v) \) The intensity of the image will decrease
A. (i) and ( \( (i) \) )
B. (ii) and (iii)
c. \( (i i i) \) and \( (i v) \)
D. only \( (i v) \)",Physics,convex lens form real image point object placed principal axis upper half lens painted black image shifted downward image shifted upward image shifted intensity image decrease ii iii,Optics,Easy,1083,5,82,198,Hard,kinematics,"A convex lens forms a real image of a point object placed on its principal axis. If the upper half of the lens is painted black
(i) The image will be shifted downward
\( (i i) \) The image will be shifted upward
\( (i i i) \) The image will not be shifted
\( (i v) \) The intensity of the image will decrease",(i) and ( \( (i) \) ),(ii) and (iii),\( (i i i) \) and \( (i v) \),only \( (i v) \),
"A ball is dropped on the floor from a height of \( 10 \mathrm{m} \). It rebounds to a height of \( 2.5 \mathrm{m} \).If the ball is in contact with the
floor for 0.01 sec, then average acceleration during contact is
\( \mathbf{A} \cdot 2100 m / s^{2} \)
B. \( 1400 \mathrm{m} / \mathrm{s}^{2} \)
\( \mathbf{c} \cdot 700 m / s^{2} \)
D. \( 400 \mathrm{m} / \mathrm{s}^{2} \)",Physics,ball dropped floor height 10 mathrmm rebound height 25 mathrmm ball contact floor 001 sec average acceleration contact mathbfa cdot 2100 s2 1400 mathrmm mathrms2 mathbfc cdot 700 s2 400 mathrmm mathrms2,Kinematics,Easy,1057,3,86,181,Hard,thermodynamics,,,,,,
"What is the process in which heat energy of both hot and cold body equalizes?
A. Calorimetry
B. Fermentation
c. Latent heat
D. Hidden heat",Physics,process heat energy hot cold body equalizes calorimetry fermentation latent heat hidden heat,Mechanics,Medium,1099,2,72,99,Hard,kinematics,What is the process in which heat energy of both hot and cold body equalizes?,Calorimetry,Fermentation,Latent heat,Hidden heat,
"(Lambda, Hertz) is
the unit of frequency, and just means how many cycles per second. It is abbreviated as \( \mathrm{Hz} \)",Physics,lambda hertz unit frequency mean many cycle per second abbreviated mathrmhz,Other,Unknown,1077,5,99,252,Hard,thermodynamics,,,,,,
"The correct shape of a water drop
enclosed between two glass plates in
gravity free space will be:
\( A \)
в.
\( c \)
D.",Physics,correct shape water drop enclosed two glass plate gravity free space,Other,Unknown,1025,8,75,41,Hard,thermodynamics,,,,,,
"In a simple microscope, if the final
image is located at \( 25 \mathrm{cm} \) from the eye placed closed to the lens, then
magnifying power is
A \( \cdot \frac{25}{f} \)
в. \( _{1+\frac{25}{f}} \)
c. \( \frac{f}{25} \)
D. \( \frac{25}{f}+ \)",Physics,simple microscope final image located 25 mathrmcm eye placed closed lens magnifying power cdot frac25f _1frac25f fracf25 frac25f,Optics,Easy,1051,6,93,130,Hard,thermodynamics,,,,,,
"A bus starts from rest and moves with a
uniform acceleration of \( 1 ~ m s^{-2} . A \) boy
10 \( m \) behind the bus at the start runs
at a constant speed and catches the
bus in \( 10 s . \) Speed of the boy is :
A \( \cdot 10 m s^{-1} \)
B. \( 1 m s^{-1} \)
\( \mathrm{c} \cdot 6 \mathrm{ms}^{-1} \)
D. \( 4 m s^{-1} \)",Physics,bus start rest move uniform acceleration s2 boy 10 behind bus start run constant speed catch bus 10 speed boy cdot 10 s1 s1 mathrmc cdot mathrmms1 s1,Kinematics,Easy,1052,7,70,285,Hard,thermodynamics,,,,,,
"In electromagnetic wave, according to Maxwell, changing electric field gives.
A. Stationary magnetic field
B. conduction current
c. Eddy current
D. Displacement current",Physics,electromagnetic wave according maxwell changing electric field give stationary magnetic field conduction current eddy current displacement current,Kinematics,Easy,1087,5,85,151,Hard,thermodynamics,"In electromagnetic wave, according to Maxwell, changing electric field gives.",Stationary magnetic field,conduction current,Eddy current,Displacement current,
"When two waves of almost equal
frequency \( n_{1} \) and \( n_{2} \) are produced simultaneously, then the times interval between successive maxima is
A \( \cdot \frac{1}{n_{1}+n_{2}} \)
в. \( \frac{1}{n_{1}}+\frac{1}{n_{2}} \)
c. \( \frac{1}{n_{1}}-\frac{1}{n_{2}} \)
D. \( \frac{1}{n_{1}-n_{2}} \)",Physics,two wave almost equal frequency n_1 n_2 produced simultaneously time interval successive maximum cdot frac1n_1n_2 frac1n_1frac1n_2 frac1n_1frac1n_2 frac1n_1n_2,Other,Unknown,1004,4,97,153,Hard,kinematics,,,,,,
"A beam of white light traveling in medium \( A \) strikes the interface to
another transparent medium, medium
B. If the speed of white light is less in
medium \( B \) than in medium \( A \), the
beam will
A. refract toward the normal
B. refract away from the normal
c. undergo total internal reflection
D. have an angle of reflection smaller than the angle of incidence
E. have an angle of reflection greater than the angle of incidence",Physics,beam white light traveling medium strike interface another transparent medium medium speed white light less medium medium beam refract toward normal refract away normal undergo total internal reflection angle reflection smaller angle incidence angle reflection greater angle incidence,Optics,Easy,1058,8,33,168,Easy,optics,,,,,,
"The radius of a hypothetical nucleus (atomic number \( =\mathbf{7} 9 \) ) is about \( \mathbf{7} \times \)
\( 10^{-15} \mathrm{m} . \) Assuming that charge
distribution is uniform, the electric
field at distance of \( 3.5 \times 10^{-15} \) of the
nucleus is :
A \( \cdot 3 \times 10^{20} \)
В. \( 1.7 \times 10^{21} \)
c. \( 3.5 \times 10^{20} \)
D. \( 3.5 \times 10^{21} \)",Physics,radius hypothetical nucleus atomic number mathbf7 mathbf7 time 1015 mathrmm assuming charge distribution uniform electric field distance 35 time 1015 nucleus cdot time 1020 17 time 1021 35 time 1020 35 time 1021,Kinematics,Easy,1069,3,60,150,Medium,mechanics,,,,,,
"The decrease in percentage error:
A. increases the accuracy
B. does not effect the accuracy
C. decreases the accuracy
D. both \( A \) and \( C \)",Physics,decrease percentage error increase accuracy effect accuracy decrease accuracy,Other,Unknown,1073,4,86,53,Hard,kinematics,The decrease in percentage error:,increases the accuracy,does not effect the accuracy,decreases the accuracy,both \( A \) and \( C \),
"A body of mass \( \mathrm{M} \) and charge q is
suspended from a string. When slightly displaced, it oscillates with period T. If a uniform electric field acts vertically downwards, then the new time period
will be:
A \( \cdot T^{\prime}=T \)
в. \( T^{\prime}<T \)
c. \( T^{\prime}>T \)
D. cannot be predicted",Physics,body mass mathrmm charge suspended string slightly displaced oscillates period uniform electric field act vertically downwards new time period cdot tprimet tprimet tprimet cannot predicted,Kinematics,Easy,1054,4,61,289,Medium,mechanics,,,,,,
"Assertion
When there is no external force on a
system, its kinetic energy must remain
constant
Reason
When there is no external force on a
system its linear momentum must
remain constant.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,assertion external force system kinetic energy must remain constant reason external force system linear momentum must remain constant assertion reason correct reason correct explanation assertion assertion reason correct reason correct explanation assertion assertion correct reason incorrect assertion reason incorrect,Mechanics,Medium,1044,9,74,280,Hard,kinematics,"Assertion
When there is no external force on a
system, its kinetic energy must remain
constant
Reason
When there is no external force on a
system its linear momentum must
remain constant.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,
"If the acceleration due to gravity g at the earth's surface is \( 9.8 m s^{-2} \) and
mass of the earth is 80 times that of
moon, radius of earth 4 times that of
the moon, the value of \( g \) at the moon's surface will be approximately equal to?
\( \mathbf{A} \cdot 4 m s^{-2} \)
В. \( 1.96 m s^{-2} \)
\( \mathrm{c} \cdot 27 \mathrm{ms}^{-2} \)
D. \( 16 m s^{-2} \)",Physics,acceleration due gravity earth surface 98 s2 mass earth 80 time moon radius earth time moon value moon surface approximately equal mathbfa cdot s2 196 s2 mathrmc cdot 27 mathrmms2 16 s2,Kinematics,Easy,1058,8,85,199,Hard,thermodynamics,,,,,,
